,Unnamed: 0,smer-plezalisce,cena
0,0,Kamin-crni-kal,28.219995179450517
1,1,Jerry-vipavska-bela,25.123966942148762
2,2,Ski extrem-bohinj,24.46280991735537
3,3,paradoks-iki-vintgar,23.318828351394895
4,4,Try-osp-misja-pec,22.6624465163186
5,5,Lunapark-crni-kal,20.967038505423893
6,6,Tom-vipavska-bela,20.787069844672022
7,7,Natalija Verboten-pec,20.249782538037625
8,8,Tic-bohinjska-bela,19.69463855669324
9,9,Ostrek-vransko,19.194222154633536
10,10,Marenda-crni-kal,18.11897767962916
11,11,Izica-creta,18.104863317134882
12,12,Sonček je-preddvor,17.964257917808236
13,13,Po grajskih stopnicah-crni-kal,17.100211372974865
14,14,Tac-bohinjska-bela,16.656305965282066
15,15,Tuc-bohinjska-bela,16.583123951776997
16,16,Ajda-crni-kal,16.575786301164484
17,17,5Ra-kupljenik,16.45649714353613
18,18,Mladi upi-crni-kal,16.304210276099635
19,19,12 ur studija-armesko,16.281566703499806
20,20,Tržaška smer-osp-misja-pec,15.873080292592428
21,21,Martinčkovo trpljenje-iki-vintgar,15.386436372416595
22,22,Culoir-kamnitnik,15.105683756271299
23,23,Ovcka-kamnitnik,14.70464851287772
24,24,Zajček-bohinj,14.698678048165977
25,25,Ponočnjaki-gornji-ig,14.698678048165977
26,26,Je?ek-bohinj,14.652074116239167
27,27,Mala ola-pod-reko-planino,14.578374095905385
28,28,Govorica srca-logarska-dolina,14.087229571466567
29,29,Flik-vipava,13.926212476455829
30,30,Mesečina-lutne-skale,13.850677391541014
31,31,Telebajski-vransko,13.656039990501675
32,32,Nulta ura-crni-kal,13.423739870036936
33,33,banana split-vipava,13.412473097925684
34,34,Crna ovca-osp-misja-pec,13.391582967666224
35,35,Normalna-crni-kal,13.33183027433494
36,36,Dory-creta,13.129759037795491
37,37,Savinjski klin-creta,12.82480886811426
38,38,Intermezzo 1.del-bohinjska-bela,12.765710957335704
39,39,Giorgina piccola-skedenj,12.76569477008451
40,40,Vrtnar-crni-kal,12.46612995228558
41,41,Kirnova-crni-kal,12.352420631416415
42,42,Vipavski steber-vipava,12.18543591689885
43,43,Plava smer-risnik,12.18543591689885
44,44,Dalmatinka-nad-savo,12.128261584082974
45,45,Toe-bohinjska-bela,11.99957175298782
46,46,Sreča na vrvici-crni-kal,11.999062865965634
47,47,Vrtinec ro-crni-kal,11.953467321404613
48,48,Kamnolom-osp-misja-pec,11.824643383307274
49,49,mièna gospodièna-crni-kal,11.726039399558575
50,50,gospa alenka-bohinj,11.726039399558575
51,51,Zaga-kamnik,11.726039399558575
52,52,Solo varianta-armesko,11.726039399558575
53,53,Življenje so samo sanje-risnik,11.726039399558575
54,54,Try-osp,11.726039399558575
55,55,polek-boc,11.726039399558575
56,56,Lady-bohinj,11.726039399558575
57,57,Kačji pastir-vipava,11.698687305377105
58,58,us-gore,11.608525586678125
59,59,Za mamico-armesko,11.46941914915662
60,60,Tango-samba-kupljenik,11.406714934544802
61,61,Popaj-crni-kal,11.396003627542264
62,62,Regrat z jajci-crni-kal,11.069880607280624
63,63,Brez vetra dan-creta,10.93693016294503
64,64,Čečko-dolge-njive,10.82545422974496
65,65,Kefir-kamnitnik,10.820716265213656
66,66,Preatty baby-osp-misja-pec,10.664199894271844
67,67,Bela roža-lutne-skale,10.660623633905484
68,68,Toso-cerjan,10.660076337553557
69,69,Za mamico-armeko,10.660035817780521
70,70,Solo-armeko,10.660035817780521
71,71,Zlati časi-crni-kal,10.651916381119127
72,72,Aleluja-creta,10.641211904450447
73,73,pela-bohinj,10.599655663260807
74,74,Zivljenje so samo sanje-risnik,10.552897060221728
75,75,Popoldanska-risnik,10.552897060221726
76,76,Pujsa Pepa-creta,10.431633631973876
77,77,Pajac-pod-skalo,10.360365721102067
78,78,Sončna pot-zavrnica,10.30790029132983
79,79,Rototom-skedenj,10.26194942785154
80,80,Tretje tisočletje-osp-misja-pec,10.165831151102273
81,81,Vilijeva-crni-kal,10.104500203900713
82,82,Muca Copatarica-preddvor,10.072994965690473
83,83,Opičji posli-crni-kal,9.984459190136947
84,84,Marjonova poč-bohinjska-bela,9.979991435966244
85,85,Purko-senica,9.805991010294994
86,86,Veverica-bohinj,9.761625154439768
87,87,Gosenica-crni-kal,9.738443926776984
88,88,Ksenjina-osp-misja-pec,9.6906796077266
89,89,Reinkarnacija-Turn-pod-golico,9.603036018887293
90,90,6. z leve-kozja-jama,9.603036018887293
91,91,Sidarta-crni-kal,9.588859813190915
92,92,Kamincek-ter,9.586465650257757
93,93,Pungrat-burjakove-peci,9.422965629736213
94,94,Tantalove muke-osp-misja-pec,9.336514575326623
95,95,Cerkljanska-pri-ciginju,9.32274702777468
96,96,Čauko-osp-misja-pec,9.319747201193444
97,97,Kapnik-kotecnik,9.317333513839705
98,98,Pride pa gre-boc,9.317202370473527
99,99,40 mučencev-vipavska-bela,9.214844103117061
100,100,Albanski konjak-osp-misja-pec,9.204453474254686
101,101,Jahalna-crni-kal,9.166859286814462
102,102,Ta lepa-bitenj-potok,9.105787593440843
103,103,Direktna-preddvor,8.971561532880997
104,104,Ocizla-crni-kal,8.832453143462281
105,105,Belveder-pod-reko-planino,8.821841508229815
106,106,Lok-kotecnik,8.771959883198702
107,107,Grimpi-colnisce,8.705559432459163
108,108,Sexy blue jeans-retovje,8.685250317364615
109,109,Frenkova-osp-misja-pec,8.67879682069317
110,110,Pakla-crni-kal,8.64990041421094
111,111,Penči-senica,8.649545807246765
112,112,Ovarij-crni-kal,8.644752747649598
113,113,trigon-crni-kal,8.640980312560483
114,114,Ego trip-strug,8.630107196881436
115,115,Sneguljčica-vransko,8.617556367018754
116,116,Ara-vipava,8.607172988920613
117,117,Grifon direkt-retovje,8.56000408267389
118,118,Prjatlca-krievska-vas,8.514077811565574
