,uporabnik,sigma
761,pawel-herod,0.0
762,jonathan-elter,0.0
763,francesco-poderini,0.0
764,magdalena-wyrtki,0.0
765,martin-feistl,0.0
766,peter-verginer,0.0
767,ofer-blutrich,0.0
768,otaviano-montes-zibetti,0.0
769,mateusz-baran,2.8823037615171174e+17
770,severin-auer,4503599627370496.0
771,marko-sturm,5.856108880702997e+16
772,nicola-gasparre,0.0
773,david-wimmer,0.0
774,dunja-dragun,75110388072448.0
775,zuzanna-maciejczyk,0.0
776,malebranchi-malebranchi,0.0
777,ana-markovic,7.128554838752156e+17
778,havijer-lesnik,0.0
779,paulina-michalska,0.0
780,william-bosi,0.0
781,bor-levicnik,5.2804705630919064e+16
782,jeff-jones,0.0
783,maja-sustar-f,3.181038533599692e+21
784,marysia-szymanska,0.0
785,dariia-karavaieva,0.0
786,marko-basic,4.0352252661239644e+18
787,benjamin-kalan,0.0
788,kasia-janusz,68719476736.0
789,piotr-janusz,1202590842880.0
790,matej-sova-u3407,1.511249508238655e+23
791,michael-naumenko,2.8823037615171174e+17
792,katja-kadic,1.2089258196146292e+24
793,kostya-p,0.0
794,michael-shishlyaev,0.0
795,m-jackson,0.0
796,stas-sobanski,68719476736.0
797,slawomir-sobanski,0.0
798,marysia-szczepankiewicz,0.0
799,asia-asia,0.0
800,pawel-porebski-yjz6b,4.611686018427388e+18
801,tomek-rumianowski,2.9514790517935283e+20
802,evgeny-lovtcev,281474976710656.0
803,ciocan-elen,0.0
804,jan-malkovich,0.0
805,wojtek-kozakiewicz,0.0
806,misha-utkin,0.0
807,p-c,0.0
808,matic-lapajne,68719476736.0
809,peter-kuric,0.0
810,bozena-kraszewska,0.0
811,p-iwaniuk,4503599627370496.0
812,marcin-kraszewski,0.0
813,jakob-dellinger,7.205759403792794e+16
814,tomas-ni,1.152921504606847e+18
815,mateusz-sikora-38091,0.0
816,artur-kraszewski,0.0
817,lina-stock-78200,0.0
818,daria-jantowska,0.0
819,aleksey-krinetsky,0.0
820,krisztina-rozsa,1.8985487179133748e+16
821,ivan-vodopivec,1446787565045678.0
822,johannes-muellner,1.152921504606847e+18
823,przemek-mizera,0.0
824,misha-tkachuk,0.0
825,ziutek-pi,0.0
826,johannes-geiss,0.0
827,mateusz-lazor,0.0
828,mateusz-chrzest,0.0
829,michaela-izakovicova,0.0
830,olga-tanasheva,0.0
831,katie-lambert-f,0.0
832,anna-witynska,0.0
833,benjamin-ditto,0.0
834,andreas-hanisch,0.0
835,wiola-imiolczyk,2.9514790517935283e+20
836,artek-maslanka,0.0
837,asia-rodowicz,0.0
838,christian-muench,4.265809567045334e+19
839,marcin-bolek,0.0
840,mateusz-kurowski,0.0
841,przemyslaw-krauze,4.722366482869645e+21
842,adam-roziu,1.152921504606847e+18
843,vincent-hessfeld-diagp,0.0
844,tamas-farkas,7.555786372591432e+22
845,stefan-kaiser,1.152921504606847e+18
846,isabelle-koelle,4.722366482869645e+21
847,lenka-slezakova,4.722366482869645e+21
848,christoph-kappacher,1.888946593147858e+22
849,andreas-bibabo,0.0
850,philipp-gassner,3.022314549036573e+23
851,viktor-gruber,0.0
852,grzegorz-bula-golowczyk,0.0
853,ania-majchrowska,0.0
854,adam-ondra,1.9342813113834067e+25
855,lukasz-grzadka,4.611686018427388e+18
856,pascal-rothauer,0.0
857,lukas-franz,0.0
858,borna-cujic,8.827055269646172e+17
859,tim-unuk,1.0094496879063297e+18
860,ola-cichecka,0.0
861,monika-krauze,0.0
862,marcell-ipach,0.0
863,andy-lee,0.0
864,marton-gergye,0.0
865,petra-dolar,0.0
866,szabo-zsuzsa-bobi,0.0
867,simon-schoepf,0.0
868,danihua-black,0.0
869,tomasz-pasich,0.0
870,ivan-klasinc,0.0
871,david-no,0.0
872,chrstph-klbl,0.0
873,markus-psss,0.0
874,sylwia-buczek-28009,0.0
875,michal-broczkowski,7.205759403792794e+16
876,megi232-megi232,0.0
877,robert-sokolowski,0.0
878,simon-widmayr,4.611686018427388e+18
879,zuzia-banas,0.0
880,michael-mangerich,0.0
881,jan-skriwanek,0.0
882,iga-oraem,1.2517433478588625e+19
883,ondrej-nevelik,0.0
884,karolina-nevelikova,0.0
885,user-deactivated-14502,1.1218842351342154e+16
886,philip-oberheinricher,0.0
887,stefan-charisse,0.0
888,vito-muzevic,4.722366482869645e+21
889,borut-rus,3.3942009095625575e+21
890,a-peche,0.0
891,marton-fidy,3.93938866605352e+20
892,komjati-zoli,7.555786372591432e+22
893,adam-olejniczak,0.0
894,sinisa-alavanja,1.2912720851596686e+20
895,marin-marasovic,0.0
896,piotr-schab,0.0
897,maciej-dobrzanski,0.0
898,ulf-lennertz,0.0
899,tim-reuser,0.0
900,jakub-konecny,0.0
901,ramon-julian-puigblanque,0.0
902,nikki-van-bergen-f,0.0
903,snorre-sulheim,0.0
904,szymon-debowski,281474976710656.0
905,bittor-esparta,0.0
906,sabina-alex,0.0
907,andoni-esparta,0.0
908,lucka-franko-f,2.3658129418517595e+21
909,wie-wiorka,0.0
910,andrzej-kajdan,0.0
911,paulina-k,0.0
912,tom-koziol,1125899906842624.0
913,radek-maly-urbanczyk,0.0
914,tomek-woszkowski,1125899906842624.0
915,monika-debowska,0.0
916,pawel-student,0.0
917,grzegorz-figura,0.0
918,daniel-wiener,0.0
919,silena-kosara,281474976710656.0
920,bjorn-owren,4.722366482869645e+21
921,maria-sperl,0.0
922,martine-frekhaug,4.611686018427388e+18
923,agatha-orlikova,0.0
924,timon-lauck,0.0
925,carlo-giuliberti,0.0
926,matthias-feymann,0.0
927,alex-armbruster,0.0
928,robert-misko,0.0
929,aneta-piskulak-lakwa,0.0
930,kuba-lakwa,0.0
931,gabor-barabas,9.367487224930632e+17
932,zan-kuralt,1.0376293541461623e+19
933,kuba-ciechanski,0.0
934,pawel-tkocz-bj5pd,0.0
935,sven-kapelj,6.124895493223875e+17
936,jani-zoraj,1.512633014044183e+20
937,waldek-lalik,0.0
938,jokubas-butautis,0.0
939,andrzej-olejniczak,0.0
940,leszek-gazicki,0.0
941,veronika-vergara-v-de-bruenion,0.0
942,gilles-roosen,0.0
943,david-koljnrekaj,4.722366482869645e+21
944,luka-sironic,7.205759403792794e+16
945,sebastian-wittmann,1.8014398509481984e+16
946,marek-cincio,0.0
947,joanna-niechwiedowicz,0.0
948,janez-svoljak,1.888946593147858e+22
949,flo-bee,0.0
950,boris-cujic,2.508757194024499e+21
951,chris-pendl,281474976710656.0
952,oli-ro,0.0
953,mark-zaus,0.0
954,simon-schoenach,1.152921504606847e+18
955,filip-kucharczuk,0.0
956,gernot-mausser,0.0
957,ivan-tomasek,8.485502273906393e+19
958,visko-kl,9.367487224930632e+17
959,nikolay-moshkin,0.0
960,callum-coldwell-storry,0.0
961,denis-olesik,1.562749070697562e+18
962,laurens-machiel,0.0
963,starkus-le-panzer,0.0
964,konstantin-protsenko,0.0
965,irina-voskoboinikova,281474976710656.0
966,jan-kiebel,0.0
967,nikolay-dolnik,1.152921504606847e+18
968,alexey-orudzhev,0.0
969,konstantin-liferenko,4.611686018427388e+18
970,daria-alekseeva,0.0
971,yura-sorokin,175921860444160.0
972,tomasz-bialecki,0.0
973,varvara-ilina,281474976710656.0
974,yury-shamardin,2.9514790517935283e+20
975,petar-gojtanic,0.0
976,christian-welkhammer,0.0
977,tamas-nagy,0.0
978,siegfried-eicher,0.0
979,olga-annenkova,1.8446744073709552e+19
980,vadim-rotov,0.0
981,dorota-sekowska,0.0
982,rocco-romano,0.0
983,luka-perunovic,0.0
984,andreas-kofler,0.0
985,iva-vejmolova,0.0
986,balazs-gyenes,281474976710656.0
987,kresimir-moric,3.2281802128991715e+19
988,michal-gach,281474976710656.0
989,max-lechleitner,0.0
990,luca-bridda,0.0
991,ruben-kunze,0.0
992,alicja-bykowska,0.0
993,aaa-bbbb,68719476736.0
994,markus-andregowitsch,140746078289920.0
995,karolina-oska-0t7n2,7.378697629483821e+19
996,krzysztof-nosal,2.9514790517935283e+20
997,ela-lis,0.0
998,lara-neumeier,0.0
999,patrycja-syska,0.0
1000,gergo-mezos,0.0
1001,ole-landsverk,7.205759403792794e+16
1002,nora-weidinger,0.0
1003,christian-kjellberger,4.611686018427388e+18
1004,agnes-livia-bodor,7.205759403792794e+16
1005,g-hz,1.152921504606847e+18
1006,ivan-turner,0.0
1007,peter-lustig,0.0
1008,melanie-michalski,0.0
1009,ondra-vitek,0.0
1010,harald-penasso,2.9514790517935283e+20
1011,ula-tebin,0.0
1012,aleksander-kawelczyk,0.0
1013,thilo-mueller,0.0
1014,ruben-marin,0.0
1015,martin-zorko,4.611686018427388e+18
1016,juergen-gotthardt,0.0
1017,mar-gruen,0.0
1018,andre-luedtke,0.0
1019,robert-dobnik,5.919727870926793e+20
1020,domen-terzan,1.152921504606847e+18
1021,david-atelsek,2.998496631903276e+18
1022,damir-wilder,7.205759403792794e+16
1023,lukas-wallner,0.0
1024,avni-sinanaj,1.152921504606847e+18
1025,kat-in,0.0
1026,moritz-kampelmuehler,0.0
1027,b-b-34917,1.8446744073709552e+19
1028,barbara-g,1.152921504606847e+18
1029,zenek-ziolko,0.0
1030,blaz-solar-dxgnq,0.0
1031,bertram-bacher,1.152921504606847e+18
1032,julija-kadunc,0.0
1033,david-trost,2.8823037615171174e+18
1034,bzs-iam,1.152921504606847e+18
1035,laszlo-czako,0.0
1036,balazs-albert,0.0
1037,gergely-nemet,0.0
1038,izer-balint,2.928219367093043e+17
1039,gorazd-hren,5.902958103587057e+20
1040,michael-gro,0.0
1041,jost-balent,0.0
1042,mariusz-grandys,0.0
1043,lorant-gyorgyevics,5.98978750440276e+17
1044,da-hons,0.0
1045,vero-mat,0.0
1046,kaltfront,1.152921504606847e+18
1047,boglarka-tornai,0.0
1048,hagen-wernicke,70368744177664.0
1049,mike-man,0.0
1050,istvan-miskei,0.0
1051,aron-rigo,0.0
1052,imre-kelenyi,0.0
1053,bojan-rendulic,0.0
1054,igor-raguz,0.0
1055,robert-toth,4.818851601286431e+17
1056,dino-hajdarevic,0.0
1057,peter-novoszadek,1.152921504606847e+18
1058,sebastjan-koderman,68719476736.0
1059,darko-herak,2.6458647810801664e+16
1060,vladimir-simovic,1689090378432512.0
1061,mislav-juranko,0.0
1062,ivica-pletikosa,0.0
1063,maik-fresl,2.7021597764222976e+16
1064,vjekoslav-vrbljanin,0.0
1065,anze-miklic,0.0
1066,gasper-fasun,1.1805916207174113e+21
1067,stanko-bazdaric,4.722366482869645e+21
1068,grgur-culina-72598,7.205759403792794e+16
1069,silvijo-vuk-51661,3.2281802128991713e+18
1070,dora-lukenda,703687441776640.0
1071,nikola-kufrin,1099511627776.0
1072,lovro-lesnik,0.0
1073,andreas-jakwerth,0.0
1074,karolina-vizi,0.0
1075,markus-guggenberger,4.722366482869645e+21
1076,marko-gereci,7.205759403792794e+16
1077,nika-percic,0.0
1078,w-g,3.91993311566328e+19
1079,martin-meilick,1.152921504606847e+18
1080,matthias-meilick,2.8823037615171174e+18
1081,zsofia-szakacs,0.0
1082,adrian-grbac-lackovic,0.0
1083,michael-ginszt,0.0
1084,elia-besombes,0.0
1085,szymon-dabrowski,7.205759403792794e+16
1086,grzegorz-swed,1.152921504606847e+18
1087,piotr-oleszczuk,0.0
1088,tymon-karczmarczyk,0.0
1089,laura-greil,0.0
1090,doris-franzmayr-71685,0.0
1091,ante-predovic,0.0
1092,marcin-motyka,0.0
1093,nikolaj-novak,0.0
1094,donovan-coetzee,0.0
1095,krisztina-klincsek,0.0
1096,david-m-navarro,0.0
1097,iris-gutierrez,0.0
1098,ivan-tomicic,4503599627370496.0
1099,stefan-grill,0.0
1100,lukas-wiesinger,0.0
1101,gergo-vajoczki,7.205759403792794e+16
1102,meikl-gius,7.205759403792794e+17
1103,andre-lukas,7.205759403792794e+16
1104,neven-kmetic,103079215104.0
1105,doris-defar-72868,0.0
1106,hrvoje-crnjak-71429,0.0
1107,daniel-riedl,70368744177664.0
1108,gabor-horvath,0.0
1109,vane-simic,1.0293942005418277e+18
1110,thomas-weghofer,1.8446744073709552e+19
1111,brigitte-engel,0.0
1112,dalma-horvath,0.0
1113,vasadi-szabolcs,0.0
1114,philipp-schloemer-69993,0.0
1115,klemen-plesec,3820802906521.6
1116,ana-pavic,3.4212003987467916e+16
1117,marin-bek,0.0
1118,katarina-sipic,4.611686018427388e+18
1119,soma-korcz,0.0
1120,gabor-borbely,281474976710656.0
1121,david-fekete,0.0
1122,viviana-gonzalez,0.0
1123,jan-bo,0.0
1124,singer-pfaff,0.0
1125,robin-sparkles,0.0
1126,kristijan-borkovic,7.926335344172073e+17
1127,rupert-schindler,1.17994310237107e+18
1128,ivan-kuvacic,0.0
1129,branko-kragic-marinic,0.0
1130,felix-g,0.0
1131,thomas-oysmueller,0.0
1132,peter-beliczky,1.152921504606847e+18
1133,tanka-rhai,0.0
1134,szilvi-hegedus,0.0
1135,szabolcs-kriston,0.0
1136,ferenc-bodogan,4503599627370496.0
1137,magdullah-magdullah,0.0
1138,martin-baurecht,7.378697629483821e+19
1139,sao-ocvirk,3.6261028350606207e+21
1140,damir-kmoch,0.0
1141,travis-vincze,2.9514790517935283e+20
1142,er-dubosky,0.0
1143,guillaume-desvignes,0.0
1144,marko-marflak,3.61695345073193e+16
1145,mrotschny,0.0
1146,piotr-kordek,3.246626956972881e+21
1147,incze-abel,0.0
1148,istvan-zoltan-toth,0.0
1149,matja-matija,0.0
1150,simon-roth,0.0
1151,konrad-reuss,0.0
1152,rok-rokar,8.827055269646172e+17
1153,petra-fabijanic,1.152921504606847e+18
1154,anna-wenger-68902,0.0
1155,miro-wozniak,4.722366482869645e+21
1156,przemek-rostek,0.0
1157,daniel-opiekulski,1.8014398509481984e+16
1158,dariusz-budzko,0.0
1159,marek-gruchowski,0.0
1160,andreas-hammer,0.0
1161,stefan-koechel,0.0
1162,andreas-hocheder,0.0
1163,darija-curic,0.0
1164,user-deactivated-32425,0.0
1165,nen-amagat,0.0
1166,sandor-dani,0.0
1167,philipp-muntean,0.0
1168,user-deactivated-32157,0.0
1169,andre-verissimo,117647744172032.0
1170,simone-dreger,0.0
1171,marko-zabcic,4.953959590107546e+16
1172,k-wierzchu,0.0
1173,miguel-fernandez-botana,0.0
1174,user-deactivated-45893,3.828059683264922e+16
1175,sinisa-atlija-8x4rn,0.0
1176,anja-meier,0.0
1177,thomas-vieider,0.0
1178,ane-varga,8.411715297611556e+21
1179,tanja-kovacic,68719476736.0
1180,em-ma,0.0
1181,mariusz-farat,2.9514790517935283e+20
1182,miroslav-vojta,0.0
1183,karolina-sikorska,0.0
1184,rafal-malinowski,0.0
1185,miha-rainer,0.0
1186,peter-haas,0.0
1187,martin-unger,0.0
1188,lan-marion-roenbergar,1.152921504606847e+18
1189,mitja-majcenovic,3.022314549036573e+23
1190,trpimir-jakovina,6.124895493223875e+17
1191,arpad-vas,4503599627370496.0
1192,marco-hrlic,0.0
1193,misha-chu,0.0
1194,stefan-colchon,7.205759403792794e+16
1195,mihai-stanescu,1.8446744073709552e+19
1196,christian-doppler,0.0
1197,oleksandr-zilinskiyy,0.0
1198,jenya-kazbekova-f,0.0
1199,barna-kerenyi,0.0
1200,sandi-kriznik,0.0
1201,matev-miljavec,1.8446744073709552e+19
1202,lu-pretti,0.0
1203,bozidar-hrovat,0.0
1204,rade-akmadzic,3.828059683264922e+16
1205,fabio-pichler,0.0
1206,joanna-metelska,0.0
1207,bartosz-pazola,0.0
1208,marek-bartnikowski-5184,0.0
1209,gabor-foelker,0.0
1210,tamas-zoltan-agocs,2286984185774080.0
1211,erdos-gabor,0.0
1212,peter-kis,7.205759403792794e+16
1213,milan-vucinic,0.0
1214,valtteri-rintamaeki,0.0
1215,romain-thiery,0.0
1216,viktor-szuhai,281474976710656.0
1217,alexis-martin,0.0
1218,vladimir-zivkovic,0.0
1219,rok-eko,0.0
1220,julien-bm,0.0
1221,ivan-steficar,0.0
1222,tihomir-jambrovic,0.0
1223,lukas-steinberger,0.0
1224,robi-lee,7.205759403792794e+16
1225,kresimir-romic,274877906944.0
1226,zeljko-patljak,0.0
1227,alexandra-dzhiganskaya,0.0
1228,luka-strubelj,8598323200.0
1229,aleks-klu,0.0
1230,werner-obrist,0.0
1231,simon-moessler-76435,0.0
1232,miriam-nussbaumer,0.0
1233,emilian-sulicz,68719476736.0
1234,tomek-hajnos,0.0
1235,philipp-demuth,0.0
1236,soeren-hohmann,0.0
1237,michael-wirnsberger,0.0
1238,max-g,0.0
1239,vid-benedik,0.0
1240,rafal-dzi,0.0
1241,mateusz-halicki,0.0
1242,christoph-weberbauer,0.0
1243,tiffany-fung,0.0
1244,jakub-czana,0.0
1245,padraig-chispa,4503599627370496.0
1246,christian-heydecker,4503599627370496.0
1247,joanna-tom,0.0
1248,lorenzo-piana,0.0
1249,mo-ar,0.0
1250,irena-bezlaj,0.0
1251,lucia-lorenzi,0.0
1252,richard-habersam,0.0
1253,marcel-matzer,0.0
1254,pawel-gietka,7.205759403792794e+16
1255,marco-bortolato,0.0
1256,chudakova-tatiana,0.0
1257,aleksandra-polec,0.0
1258,oliver-javerschek,4.953959590107546e+16
1259,sander-werelds,0.0
1260,kuba-kaminski,1.0
1261,slavko-vozelj,0.0
1262,elfi-hasler,0.0
1263,jakob-ogrin,82465049804.8
1264,giulio-cassio,4.611686018427388e+18
1265,miro-repar,0.0
1266,slaven-vukovic,0.0
1267,marketa-janosova,0.0
1268,alicja-marzec,0.0
1269,lord-caballero,0.0
1270,thomas-laubensdoerfer,3.61695345073193e+16
1271,anke-laubensdoerfer,0.0
1272,davor-zupancic,0.0
1273,kati-meyer,0.0
1274,sara-bergentz,0.0
1275,christof-bernsteiner,0.0
1276,christian-engelbrecht,0.0
1277,elliot-lis,0.0
1278,franz-hammer,68719476736.0
1279,lorenz-pohl,0.0
1280,andreas-ermer,0.0
1281,maja-vrancich-vukas,0.0
1282,peter-bosch,0.0
1283,przemyslaw-kapusta,0.0
1284,david-sedeno,0.0
1285,christian-bondani,0.0
1286,berni-h,0.0
1287,toma-bukovinski,45835354112.0
1288,peter-simkanin,0.0
1289,markus-glueck,0.0
1290,irene-busch,0.0
1291,robert-busch,0.0
1292,bla-sutlovic,38671482880.0
1293,alen-majcan,1.152921504606847e+18
1294,ricardo-miquel,0.0
1295,denies-du-mon,0.0
1296,gerald-suppan,0.0
1297,marija-mikulcic,0.0
1298,jan-jurecka,0.0
1299,kotolak-xyz,0.0
1300,manuel-rodriguez,0.0
1301,eva-zaletel,53452210176.0
1302,christian-winklmair,7.205759403792794e+16
1303,elias-heinemann,0.0
1304,jelena-jakovljevic,0.0
1305,michael-papp,0.0
1306,alexander-allmann,0.0
1307,janez-a-stein-johan,10653532160.0
1308,damian-granowski,0.0
1309,karol-ch,17179869184.0
1310,marcin-charkiewicz,0.0
1311,simone-raina,0.0
1312,user-deactivated-34199,0.0
1313,nina-kovarikova,0.0
1314,pawel-oleksy,0.0
1315,maciej-drzniewicz,0.0
1316,pawel-olszewski,0.0
1317,michal-wyzlic,0.0
1318,zmija-zlanja,281474976710656.0
1319,gerhard-kremser,0.0
1320,jozi-pavlic,4.908923593833841e+18
1321,jaka-fajfar,3.2281802128991713e+18
1322,rafal-pawinski-6o9f1,7.205759403792794e+16
1323,krzysztof-zarzycki,0.0
1324,nim-haver,0.0
1325,joerg-lehner,0.0
1326,roger-de-esteban,0.0
1327,alba-friky,0.0
1328,naitsabes-kicjow,68719476736.0
1329,pieter-hubregtse,0.0
1330,primo-bratun,2.9514790517935283e+20
1331,user-deactivated-33251,140746078289920.0
1332,grzegorz-bajson,68719476736.0
1333,marek-szczerbicki,17179869184.0
1334,johannes-pohl,0.0
1335,daniele-adamic,0.0
1336,krzysztof-jurkowski,68719476736.0
1337,filip-starzecki,42949672960.0
1338,tilen-cernigoj,233646220902.4
1339,yuriy-boyko,0.0
1340,flo-ri,7.205759403792794e+16
1341,jaroslaw-nowak-gn38t,0.0
1342,leo-heun,0.0
1343,oliver-mick,0.0
1344,timna-prah,16777216.0
1345,luka-vukobratovic,0.0
1346,hubert-malek,0.0
1347,jacek-wajda,17179869184.0
1348,user-deactivated-33777,0.0
1349,artur-mydlarz,0.0
1350,freddie-chopin,0.0
1351,grzegorz-s,68719476736.0
1352,christian-mairitsch,0.0
1353,marcin-tanistra,0.0
1354,marko-bratina,7.378697629483821e+19
1355,hania-p,0.0
1356,lukasz-juszczyk-4raqe,0.0
1357,nelson-gomes-matias,42949672960.0
1358,valentina-micol,17179869184.0
1359,borut-lenc,1.8446744073709552e+19
1360,albert-bochnert,0.0
1361,norbert-vad,0.0
1362,francesca-berardi,42949672960.0
1363,dalibor-gelo,0.0
1364,pawel-strzelecki,281474976710656.0
1365,francesco-fontanini,70368744177664.0
1366,aleksandar-mataruga,2.9514790517935283e+20
1367,szocs-karoly-csaba,0.0
1368,sandi-licen,281474976710656.0
1369,nagy-hanna,0.0
1370,dennis-g-m,0.0
1371,adrian-zeller,0.0
1372,klaus-t,0.0
1373,lilla-balint,0.0
1374,jan-bednarik-28216,0.0
1375,josi-bittendorfer,7.205759403792794e+16
1376,markus-bittendorfer,1.152921504606847e+19
1377,alexander-gradenegger,0.0
1378,martin-classen,0.0
1379,katinka-van-sprang,0.0
1380,piotr-konarski,0.0
1381,janez-franc-vratanar,4.0655653057188813e+18
1382,user-deactivated-29173,1.152921504606847e+18
1383,lukasz-rogowski,0.0
1384,jacek-wojnarowski,0.0
1385,radek-rola,0.0
1386,lukasz-radziechowski,1.152921504606847e+18
1387,vid-cufar,4.611686018427388e+18
1388,cyril-kratochvil-9356,0.0
1389,zsolt-pulinka,0.0
1390,sandi-pelko,7.378697629483821e+19
1391,user-deactivated-22449,0.0
1392,marc-horbal,1.152921504606847e+18
1393,pedro-gomes,0.0
1394,jorge-sharma-duarte,0.0
1395,klemen-dovan,8.646911284551352e+17
1396,david-schweiger,0.0
1397,kinga-brumbauer,0.0
1398,botjan-t,104103760029882.19
1399,vojko-rajh,45393045690.181816
1400,michael-a,0.0
1401,alberto-pasini,0.0
1402,emiliano-temporale,0.0
1403,julian-l,0.0
1404,ales-ugovsek,1.152921504606847e+18
1405,jaka-gogala,0.0
1406,beata-brzeczek,0.0
1407,darek-mielczarek,0.0
1408,a-b,274877906944.0
1409,katja-spehar,16777216.0
1410,user-deactivated-21875,0.0
1411,iga-domadenik,7.205759403792794e+16
1412,istvan-agh,1.1805916207174113e+21
1413,rok-novak,48103633715.2
1414,jaka-kobal,0.0
1415,tadej-furlanic,68719476736.0
1416,matic-kozmus,0.0
1417,robert-lakovnik,67108864.0
1418,laurenz-trawnicek,0.0
1419,michael-thomas-jurman,34667096965.12
1420,minca-mramor,0.0
1421,alexander-areteos,0.0
1422,jf-middelhoek,0.0
1423,herre-lippes,0.0
1424,germano-degan,0.0
1425,eline-nas,0.0
1426,jan-reisen,0.0
1427,gasper-vrhovnik,0.0
1428,jakub-b,68719476736.0
1429,ales-janzekovic,4.611686018427388e+18
1430,janko-domitrovic,3.6893488147419103e+19
1431,jurij-kurnik,0.0
1432,simon-rutar,65103545182.31579
1433,rok-zore,137438953472.0
1434,sanjin-gotic,0.0
1435,gerd-essl,0.0
1436,per-engman,281474976710656.0
1437,peter-novak,0.0
1438,nicky-nicky,93847904321536.0
1439,marusa-rodic-f,0.0
1440,petra-fischer,0.0
1441,dominik-hajduk,0.0
1442,moos-van-caspel,0.0
1443,andrew-tau,7.205759403792794e+16
1444,uro-istenic,51539607552.0
1445,bartek-zasadny,0.0
1446,gaper-jelen,2.8823037615171174e+17
1447,luca-martin-7252,0.0
1448,michael-hallmann,0.0
1449,mr-koidl,0.0
1450,diogo-bento,0.0
1451,gaper-potrebuje,2.9514790517935283e+20
1452,user-deactivated-21889,0.0
1453,mito-meznarsic,0.0
1454,user-deactivated-14497,7.205759403792794e+16
1455,janeic-bojan,0.0
1456,user-deactivated-2460,0.0
1457,otto-schapendonk,17179869184.0
1458,martin-poetter,0.0
1459,thomas-wehmeyer,0.0
1460,uros-pavlic-6749,4.611686018427388e+18
1461,eduard-tudor,0.0
1462,sinisa-hrestak,0.0
1463,cikic-cedomir,4.722366482869645e+21
1464,jan-holzer,0.0
1465,andrej-sotelek,0.0
1466,gregor-selak-7239,0.0
1467,milos-prazan,0.0
1468,milos-stosic-4593,0.0
1469,daniel-pringle,0.0
1470,mitja-lunder,1688849860263936.0
1471,dirk-uhlig,0.0
1472,vladimir-sauli,0.0
1473,torsten-schaefer,0.0
1474,joerg-schwerdt,16777216.0
1475,niels-van-duyn,0.0
1476,miko-babiszkiewicz,0.0
1477,lukas-sam,68719476736.0
1478,thomas-hjerrild,0.0
1479,erik-svab,0.0
1480,robert-nejman,0.0
1481,darek-niemczyk,0.0
1482,mojca-zerjav-f,9.44473296573929e+21
1483,jochen-perschmann,0.0
1484,metka-jug-f,2.8823037615171174e+18
1485,jernej-turnek,2.9514790517935283e+20
1486,sven-lakovnik,0.0
1487,arne-grage,0.0
1488,janez-kotar,0.0
1489,silvan-biffiger,4.722366482869645e+21
1490,manja-tisler,0.0
1491,vid-kosicek,0.0
1492,martina-cufar-potard,1.2089258196146292e+24
1493,bostjan-potocnik,0.0
1494,soma-strommer,4.722366482869645e+21
1495,marko-mrse,1.8446744073709552e+19
1496,sebastjan-v,0.0
1497,primo-cerar,68719476736.0
1498,domen-teran,0.0
1499,rok-godec,2.9514790517935283e+20
1500,kristof-frelih,0.0
1501,matthias-prettner-l6uoa,0.0
1502,edoardo-gallo,0.0
1503,stephan-van-den-berg,4.722366482869645e+21
1504,timna-sprah,1.8446744073709552e+19
1505,marco-nizzoli,0.0
1506,will-patterson,0.0
1507,michael-moser,0.0
1508,lukas-kiefer,0.0
1509,isaac-climent,0.0
1510,dennis,1.152921504606847e+18
1511,primo-arh,4.722366482869645e+21
1512,adam-harrison,1.844674407370955e+20
1513,sami-aziz,2.951479051793528e+21
1514,marko-markus,0.0
1515,tamara-vukovic,274877906944.0
1516,ane-peharc,0.0
1517,marta-jedrejcic,0.0
1518,lucija-jedrejcic,0.0
1519,dariusz-pawlak,46170898432.0
1520,mitja-zakotnik,3.022314549036573e+23
1521,urban-azman,2.2667359117774297e+23
1522,magdalena-piwowarczyk,1073741824.0
1523,bartosz-dittmar,1073741824.0
1524,piotr-wiciak,545259520.0
1525,paula-wiciak,1073741824.0
1526,nace-pavc-pifo,39277859401.14286
1527,aleksander-ao,1.888946593147858e+22
1528,jure-primc,4.722366482869645e+21
1529,user-deactivated-28981,3.659174697238528e+16
1530,dave-cross,0.0
1531,yannicke-goris,68719476736.0
1532,luca-de-demo-b5ftl,0.0
1533,chris-reddy,0.0
1534,sasa-ilic,0.0
1535,johanness-mayer,0.0
1536,user-deactivated-26635,0.0
1537,jure-becan,0.0
1538,miha-cesnik,1.1805916207174113e+21
1539,javier-elizondo,0.0
1540,tululo-iv,0.0
1541,iva-vrdoljak,0.0
1542,demir-baric,0.0
1543,ane-martincic,4.722366482869645e+21
1544,anja-unuk,4.323455642275676e+17
1545,sasaki-kojiro,0.0
1546,m-stangl,0.0
1547,jure-zdovc,1.8446744073709552e+19
1548,britta-franke,16777216.0
1549,patrick-petje-coenen,16777216.0
1550,leja-kos,0.0
1551,christian-pointner,0.0
1552,kipras-baltrunas,0.0
1553,jani-abe,0.0
1554,adam-mcclain,0.0
1555,valentin-mak,4.722366482869645e+21
1556,matija-zupan,0.0
1557,user-deactivated-4833,0.0
1558,oskar-k-linares,0.0
1559,felix-cantalapiedra,0.0
1560,tristan-salson,0.0
1561,rupert-messner,0.0
1562,sasa-zezelic,68719476736.0
1563,bernard-jerman,0.0
1564,miha-vovk,0.0
1565,matevz-pintar,0.0
1566,jure-bornsek,0.0
1567,nejc-solje,0.0
1568,jan-borko,0.0
1569,erik-paulsen,0.0
