,uporabnik,sigma
163,julia-fiser,0.0
164,francesca-medici,1.2089258196146292e+24
165,davide-picco,2.4272963721949976e+24
166,michele-santagiuliana,0.0
167,steve-luccarda,1.2089258196146292e+24
168,antoine-maire,0.0
169,thomas-maerz,1.1805916207174113e+21
170,gabriela-vrablikova,0.0
171,piotr-trojnar,0.0
172,wojtek-drozdowski,1.152921504606847e+18
173,camilla-bendazzoli-69528,0.0
174,maciej-czarnecki,0.0
175,jan-fehringer,17179869184.0
176,piotr-pawlak,0.0
177,matteo-langhetti,0.0
178,raphael-berger-8pbwe,0.0
179,kasia-0609,0.0
180,clemens-berger,0.0
181,fabian-petutschnig,1.8446744073709552e+19
182,lukas-38836,1.1805916207174113e+21
183,klemen-novak,4.934872974598779e+22
184,illya-bakhmet-smolenskyi,2.9514790517935283e+20
185,wojciech-grzesiak,1.8446744073709552e+19
186,grzegorz-paszkowski,0.0
187,miso-slogar,153533054923571.2
188,filip-kurtovic-2l2sq,4.611686018427388e+18
189,vana-piccini,7.378697629483821e+19
190,radek-brusilowicz,4.722366482869645e+21
191,nikola-kramaric-nx6t5,1.152921504606847e+19
192,luka-trumbic,4.722366482869645e+21
193,gustavo-brusasca,68719476736.0
194,lucija-brkic,0.0
195,mikula-basic,4.611686018427388e+18
196,mateusz-kadziolka,0.0
197,andreas-rogala,2.305843009213694e+18
198,zan-lovenjak-sudar,8.311365009850576e+23
199,davide-rosati,6.124895493223875e+17
200,andrea-vitagliano,4.722366482869645e+21
201,michal-fijalkowski,1.152921504606847e+18
202,anna-felczak,0.0
203,martyna-ciechanowska-70017,1.152921504606847e+18
204,aleksander-olszok,4.722366482869645e+21
205,matthias-trockner,0.0
206,weronika-rotko,0.0
207,luca-visintin-77238,0.0
208,kamil-ferdinand,1.152921504606847e+18
209,przemyslaw-ozog,0.0
210,dominika-soltys,7.378697629483821e+19
211,pietro-vincenzi,0.0
212,roman-neuwirth,0.0
213,andrzej-fusik,2.305843009213694e+18
214,paul-kiefer,2.3980767295822417e+20
215,fabian-leu,0.0
216,mariusz-polowczuk,302580446003.2
217,sara-vurusic,4672484613396890.0
218,ivan-ljubicic,4.2047725462132065e+18
219,matteo-menardi,1.9342813113834067e+25
220,gabor-abonyi,211106232532992.0
221,szymon-kawiorski,0.0
222,vadim-savelev,0.0
223,m-arkadius-d,0.0
224,jana-rauth,0.0
225,michaela-smetanova,1.152921504606847e+19
226,tereza-siruckova,2.9514790517935283e+20
227,ziga-erman,4.722366482869645e+21
228,roger-serret,7.205759403792794e+17
229,david-meglic,8.646911284551352e+17
230,felix-chevet,0.0
231,tim-korosec,0.0
232,stefan-engelhardt,0.0
233,grzegorz-andruszkiewicz,0.0
234,kuba-barzycki,1.152921504606847e+18
235,moritz-klein,0.0
236,jedrek-baranowski,0.0
237,florian-harrasser,0.0
238,bennet-klarhoelter,0.0
239,sven-weiss,4.722366482869645e+21
240,zori-franko,313818943761066.7
241,mateusz-siwek,281474976710656.0
